pca_dim,nb_kernels,kernel_size,stride,kernel_modes,variant,mean_accuracy,std_accuracy,param_count,run_dir,efficiency
8,1,2,2,12,qconv_classical,0.6074074074074074,0.15550189373362527,13,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-153631,0.04672364672364672
8,1,2,2,16,qconv_quantum,0.5368006304176517,0.0002729788506806745,498,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-153714,0.0010779129124852444
8,1,2,2,16,qconv_classical,0.6074074074074074,0.15550189373362527,13,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-153714,0.04672364672364672
8,1,3,1,4,qconv_quantum,0.5383766745468873,0.002604052268220383,50,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154157,0.010767533490937746
8,1,3,1,4,qconv_classical,0.5368006304176517,0.0002729788506806745,18,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154157,0.029822257245425095
8,1,3,1,8,qconv_quantum,0.6307328605200946,0.16296837385636243,138,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154203,0.0045705279747832945
8,1,3,1,8,qconv_classical,0.5368006304176517,0.0002729788506806745,18,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154203,0.029822257245425095
8,1,3,1,10,qconv_quantum,0.562962962962963,0.022804764938961684,206,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154215,0.0027328299172959367
8,1,3,1,10,qconv_classical,0.5368006304176517,0.0002729788506806745,18,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154215,0.029822257245425095
8,1,3,1,12,qconv_quantum,0.7814026792750197,0.08173152726742368,290,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154241,0.002694491997500068
8,1,3,1,12,qconv_classical,0.5368006304176517,0.0002729788506806745,18,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154241,0.029822257245425095
8,1,3,1,16,qconv_quantum,0.7662726556343578,0.21831192383893175,506,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154343,0.001514372837222051
8,1,3,1,16,qconv_classical,0.5368006304176517,0.0002729788506806745,18,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-154343,0.029822257245425095
8,1,3,2,4,qconv_quantum,0.5495665878644602,0.11496688295588192,38,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155102,0.014462278628012111
